Title,Directors,Writers,Actors,Genres,Release Date,Runtime,Rating Count,Summary
The story of dog Hatchi,Las Holsm,,"Richard Keel, Sarah Romerl, Joan Allen, Robbi Sublett, Eric Awari, Tianchuan Ocean, Jason Alexander, Robert Kaparong",Plot,2009/6/13,93,1447309,"Eight Gong (Forest) is a mysterious dog because no one knows where it comes from.Professor Parker (Richar Richard Gere) picked a lost puppy at the train station in the town.I couldn't let it go anymore. In the end, Parker's love for the puppy Ba Gong had influenced the wife of the dog, who was struggling to raise the dog (John Allen).Eight Gong grew up slowly under Parker's care. When Parker went to work, the Eighth Association kept him to the station. At get off work, Eight Gong would climb at the station early to wait. The loyalty of Bagong made the people in the town more love it even more. EssenceOne day, Bagong performed abnormally when Parker was going to work. He actually played the game that he had never been able to pick up the ball. The performance of Ba Gong made Parker very satisfied, but that day, Parker died of illness.Parker's wife, daughter Andy (Sarah Roemer) and son -in -law Michael (Robbie Subett) buried Parker with great pain, but it was unknown ..."
Sea pianist,Josepe Tonadori,,"Tim Rose, Plut Taylor Vis, Bill Nurn, Kransces Williams III, Melani Tieri, Pitter Vorne, Neil Obrene,Alberto Basques, Gabriele Lavia, Cori Buck, Westy Corr, Luigi de Luca, Nicholas Di Pin Tuo, Fermi Eulufuzu, IraqiSton Gech, Kevin McNerley, Brian Polins, Sarah Rubin, Hiscoat Williams, Ani Zaglia, Angelo Dilletta","Plot, music",2019/11/15,165,1744177,"This film tells a life of a piano genius legend.

In 1900, on the luxury cruise of the Virginian, an orphan was abandoned in the first class. He grew up and grew up by the sailor on the boat and named 1900 (Tim Ross).The 1900 grew up, showing the extraordinary piano talent without a teacher. The band on the boat performed the piano. Everyone who had heard him was deeply moved.Jazz -Rhatezoni heard that he had a superb skill in 1900 and went on the ship to fight with him. Finally, he sighed and left sadly.

Unfortunately, all this happened at sea. 1900 never wanted to set foot on land. Until one day, he fell in love with a girl and flowed on the keys.Will he set foot on land for love for love and start a new life, and use his piano to stun the world?How will he compose his extraordinary life."
Three Stupid Bollywood,Rajilmar Hirii,,"Amir Khan, Kaina Capur, Madaman, Salman Josh, Ome Warda, Bonman Ilan, Mona Singh, Rajv RobinsNutian","Plot, comedy, love, song and dance",2011/12/8,171,1934401,"The film is adapted from the debut novel ""Five Point Someone"" of the Indian best -selling writer Chestan Bhagat.France (Madehawan R Madhavan), Ladu (Shaman Joshan Joshi) and Rancho (Aamir Khan) are students of the Royal School of Engineering.For friends.In the college known for strictness, Lamo is a very unique student. He does not remember his back, and even blatantly hit the principal ""virus"" (Boman Irani), who questioned his teaching method.He not only encouraged Frank and Ladu to bravely pursue his ideals, but also persuaded the principal's second daughter Baya (Kareena Kapoor) to leave the fiance full of copper odor.Lamo's maverick has caused the dissatisfaction of the exemplary student ""muffler"" (Ome Vijia Omi Vaidya).Essence

The film won Meng ..."
Spring in the cattle class,Christov Banda,,"Jean-Battiste Monoy, Greal Janho, Francova Beron, Kad Merida, Jean-Paul Bonayre, Jacques Bayham, Mary 路Bonar, Mark Sanl Bayham, Gregar Gadino, Thomas Buremen Tal, Silil Bernekott, Simon Fagot, Tyoloel KareNini, Philip Du Janaland, Eric Dez Marititz, Di Dir Framont, Carole Weiss","Plot, music",2004/10/16,97,1369823,"In the French village in 1949, the musician Cleente (Jilar Janho) came to a men's boarding school named ""Tang Low"" as an assistant teacher.Most of the students in the school are difficult for children. The corporal punishment is common here. The principal of the school (Francova Belleang) only cares about his future and brutally high pressure.

Clemens, who has a quiet personality, tries to improve this situation with his own method. He re -creates music works, organizes choirs, and decides to use music methods to open the students' closed minds.

However, things are not smooth. Clement found that student Pierre Mo Anqi (Jean-Battiste Monianya) has extraordinary music talents, but he grew up with a single-parent family. He has a personality.It is extremely sensitive and lonely. How to release Pierre's musical talents, which makes Clemen's headache; at the same time, his relationship with Pierre's mother is gradually subtle."
Robot Story,Andrew Stanton,,"Ben Belt, Elisa Knight, Jeff Grin, Flee Wrate, Siegini Waver, Macintalk, John Rason Berg, Cathy Nakmai,Teddy Newton, Bob Bergen, Lori Richardson, Jim Wade, Peter Dougot, Andrew Stanton, Jeff Pins, John Zigan, Mikai,Mai Gaowan, Shirley Lindin, Cleter Whitek, Donald Fellov, Rori Allen, Jess Hamel, Raynen Newman, Yang Rabson, Paul路 Idinin","Science fiction, animation, adventure",2008/6/27,98,1374071,"In 2805, human civilization developed high, but due to the increase in pollution and domestic waste, the earth was no longer suitable for human living.Earth people were forced to leave their hometown by spacecraft for a long and boundless journey of universe.Before leaving, they commissioned Buynlarge's company to clean up Earth garbage. The company developed a robot named WALL 路 E (Waste Allocation Load Lifters -Earth Earth Waste Dispader).

These robots work hard according to the procedures day after day and year after year, but with the passage of time and the erosion of the harsh environment, WALL 路 E will be damaged and stopped exercising one after another.In the end, there was only one job that seemed endless.After a long years, it began to have its own consciousness.It likes to hide the collected treasures carefully, and likes to watch the song and dance film hundreds of years ago after finishing work. In addition, there is a cockroach friend as a companion.Until one day, a spacecraft from the universe broke its unchanged life ...

This film won the 81st Oscar for Best Animation Award in 2009."
Crazy Animal City,"Byron Howard, Rich Moore, Gerald Bush",,"Ginnver Goodwin, Jason Betman, Idris Elba, Jenny Slait, Nate Torrence, Bonnie Hunter, Tang Reke, Tommy, Tommy, Tommy, Tommy路 Zhong, J. K. Simmons, Oaktavia Spencer, Allen Tukk, Shakira, Raymond S. Pelcer, Drah Saba, Morris 路Lamac, Phil Johnston, John Di Majio, Katie Los, Gitta Reydi, Jesse Cordi, Tommy List, Josh Dallas, RyoQis Moore, Case Sasisi, Peter Manbridge, Byron Howard, Gerald Bush, Mark Smith, Joshi Tidinida, John Ravier, Kristin 路 路Bell, Gil Cordist, Melissa Goodwin","Comedy, animation, adventure",2016/3/4,109,2048405,"The story takes place in a beautiful world where all mammals coexist in harmony, rabbit Judy (Voicing of Ginnifer Goodwin Ginnifer Goodwin) has dreamed of being a criminal policeman who punished evil and good at childhood.Judy successfully graduated from the police academy and entered the Crazy Animal City Police Department.Woolen cloth?

Recently, a case of animal missing in the city was successfully associated with all police officers when they were committed to investigating the truth of the case.EssenceOne day, the rabbits who were on duty met the fox named Nick (voiced by Jason Betman Bateman).If Mr. otter cannot be found within two days, Judi must leave the police voluntarily.Judy found Nick, and the two teamed up to reveal a shocking secret hidden in the Crazy Animal City."
Unparalleled road,"Liu Weiqiang, Mai Zhaohui",,"Andy Lau, Liang Chaowei, Huang Qiusheng, Zeng Zhiwei, Chen Huilin, Zheng Xiuwen, Chen Guanxi, Yu Wenle, Xiao Yaxuan, Lin Jiadong, Wu Tingyu, Leni, Yin Zhiqiang, Xu Jinfeng, He Huachao, Lishahua, Li Tianxiang, Huang Yanqiang, Yao Wenji, Yu Shiten, Li Zhiwei, Li Zhiwei,Liang Haokai, Zhang Xuzhang, Yuan Weihao, Du Wenze","Plot, thriller, crime",2003/9/5,101,1436748,"In 1991, Liu Jianming (Andy Lau), a member of the Hong Kong gangsters, obeyed the instructions of the boss Han Chen (Zeng Zhiwei) and joined the police force to become a gangsters undercover.In 1992, Chen Yongren (Liang Chaowei), an excellent student of police training school, was demanded by the superior to undercover, and the ultimate goal was to become a celebrity around Han Chen.In 2002, both of them lived up to each other, and they both pressed back. Liu Jianming gradually wanted to be a real good person, while Chen Yongren hoped that he would return to the police as soon as possible.

The team learned from Chen Yongren's hands from Chen Yongren. He locked the target character Han Chen. Unexpectedly, the intelligence was leaked by Liu Jianming, and both sides failed.However, the incident exposed the fact that both sides had undercover, causing the high -level determination of the senior management of both sides to clear the inner ghosts.Liu Jianming and Chen Yongren, who have very different fate and similar fate, began to receive severe tests in the journey of Infernal Affairs."
Prosecutor,Billy Wilde,,"Tyron Baohua, Marine Dedeli, Charles Lauron, Elsa Langshter, John Williams, Henry Daniel, Ian Wolf, Torin Sachel, Nuo, NuoMa Vuitton, Yona Oknner, Rata Lee","Plot, suspense, crime",1957/12/17,116,614546,"Sir Sir Wei Fei (Charles Laughton), a well -known criminal defense lawyer in London, received heart disease treatment, but his body was still weak. On the first day, he went home to recuperate. The nurse had strictly supervised him for medication and eliminated tobacco and alcohol.In order to facilitate going upstairs, the housekeeper also fixed the elevator for him.However, all kinds of care and care are at all about the unruly and tip -tip barrier, but instead excited him.Lawyer Mei Xiu and the parties Volva (Tyron Power Tyrone Power) visited the door and asked him to go out of the mountain lawsuit.It turned out that Wall met the rich woman. The two met each other. Although the servants were full of contempt for the eggbeater he invented, the rich woman was full of love for him, and even modified the will for him.he.However, the rich woman was tragically poisoned.As a result, Wall became the number one suspect for the police.His only witness was his wife, Marline Dietrich, but the indifference and calmness of the latter when the latter came to the door, which made Sir Weifei suspect that there was other hidden feelings.Behind the confusing case, there are hidden interlocking ..."
The big sacred in the Westward Journey to the West,Liu Zhenwei,,"Zhou Xingchi, Wu Mengda, Zhu Yin, Cai Shaofen, Lan Jieying, Mo Wenwei, Luo Jiaying, Liu Zhenwei, Lu Shuming, Li Jianren","Comedy, love, fantasy, costume, costume",2014/10/24,95,1594946,"Supreme Treasure (Zhou Xingchi) was brought back to the moonlight treasure box 500 years ago. When he met the Zixia Fairy (Zhu Yin), he was imprinted by the other party as the other person and found that he had become Sun Wukong.

Zixia and Qingxia (Zhu Yin) were originally the core of the moon god lamp (Zixia and Qingxia at night) of the moon god lamp the day before the Buddha's seat.Whoever can pull out the purple green sword in her hand is her intention.Ziqing Sword was unplugged by Supreme Bao inadvertently. Zixia decided to make a promise, but was rejected by the Supreme Treasure of the white crystal (Mo Wenwei) who was remembered.The later Niu Devil saved Zixia who was lost in the desert and forced Zixia to marry him. At a critical moment, Supreme Bao appeared."
furnace,Huang Donghe,,"Kong Liu, Zheng Youmei, Jin Xianxiu, Zheng Renxu, Bai Chenghuan, Zhang Guang, Jin Mincha, Lin Xiancheng, Jin Zhou Ling, Yan Xiaoyi, National Huan, Cui Zhenhao, Jin Zhixing, Xu Zaihao, Zhang Suyan, Zhang Suyan, Zhang Suyan",Plot,2011/9/22,125,970381,"Ren Hao (Kong Ji) from Seoul came to Wujin to apply for the school of deaf and dumb people.The fog fell in the sky, and he accidentally collided, and he met Rouzhen (Zheng Youmei), a member of the human rights organization during maintenance.Renhao's wife died early, and his 8 -year -old daughter was taken care of by her grandmother, so he did not say a hard work.However, the principal and director of the twins forced Renhao to ask for a bribing 50 million won.At the same time, Ren Hao gradually found that the school was shrouded in a tension and depression, which was suffocating.There are three children attracting attention: the smart Jin Yandou (Jin Xianxiu), the greedy Chen Yili (Zheng Renxu), and the national show (Bai Chenghuan) who committed suicide by his younger brother, Minxiu is always full of bruises.After class, Ren Hao also heard that there were shouts and crying in the women's toilet, and he was not thoroughly blocked in the gatekeeper.after.He accidentally witnessed the principal's bribe police officer, the instructor poisoned the people's show, and the guidance was drowned to punish Yan Dou.A stunning hidden secret was slowly revealed, the truth shocked South Korea ...

The film is based on the real events of a deaf -dumbman school in Guangzhou in 2005, and is adapted from the novel of the same name by Korean writer Kong Zhiyong."
godfather,Francis Ford Coppola,,"Malone Bailandu, Al Pasino, James Kenne, Richard Castro, Robert Duvar, Stirling Headen, John Mali, Richard Kandte, RichardEl Lediery, Dian Keton, Abbe Vichada, Talia Sher, Gumani Russell, John Kaiser, Rudy Bondtake","Plot, crime",1972/3/15,175,1016031,"In the United States in the 1940s, ""Godfather"" Vito Corrion (Malone Bailan Du) was the leader of the Black Party Corron family.Love.

Because of rejecting the drug transaction requirements of the drug lord Solososo, the conflict between the Corion family and several other black -handed party families in New York.On Christmas Eve, Soloso hijacked Tom, the staff of the ""godfather"", and sent people to assassinate the ""godfather""; because of the traitor's betrayal, the eldest son of the ""godfather"" Sunni was killed by the enemy;) He was also rolled in and lost his wife.The contradictions between the black -handed party family are becoming more and more fierce.

How can the old ""godfather"" lead the overall situation in the face of the pain of bereavement?How does the hatred between the Mandarin Party end?Who is the traitor of the family?Who can become a new generation of ""godfather""?

The bloody and warm wind and warmth are truly staged in this milestone gangsters."
untouchable,"Olivia Nakash, Eric Torradano",,"Fransowa Crucese, Omar Higan, Anna Leni, Odre Ferro, Josephine Demo, Klotchld Mryt, Alba BaluQi, Cyril Mendy, Salimat Kamat, ABSA DIATOU TOURE, Gr茅goire Oestermann, Dominique Daguier, FRAN? OIS Caron, Christian Ameri, Toma Solville","Plot, comedy",2011/11/2,112,1179435,"Because of a skydiving accident, the white rich man Philippe (Franco -Cruze Fran? OIS Cluzet) was paralyzed in bed and wanted to recruit a full -time accompany.Due to the high salary, the candidates gathered, and all tongue lotus could not move his heart.It was not until the emergence of the black man Driss (Omar Sy) made him decide.Dehis had just come out of prison, carrying a family burden, and only wanted to find a letter to dismiss the letter to apply for relief, and he obviously had much interest in the female assistant than the job.But Philip still had this guy at a glance.As a result, Dehis started a month of trial period.Although the comfortable mansion environment made him feel vanity, he still faced many challenges: not only had to restore Philip, but also had to take a bath, enema, dismantling, and wearing stockings.At first, the way of the two people was very different from values, but as the understanding continued to deepen, they became friends ...

The film is based on real events and won the Golden Kirin Award at the 2011 Tokyo Film Festival. Francova Krone and Ogin Sai shared the film emperor's crown."
When happiness knocks on the door,Gabrieli Muchino,,"Wil Smith, Jaden Smith, Tandi Newton, Brian Hawiti, James Karen, Dan Castelanda, Kot Fuller, Takyu Fisher, Kai Kai, Kai KaiWen West West, George Zhang, David Michael Silfman, Dominik Bofov, Jeff Karlen, Johfu Lavin, Scott Klas","Plot, family, biography",2008/1/17,117,1580197,"Chris Ghana (Will Smith), who has exhausted all savings, bought high -tech treatment instruments, and sold to the hospital everywhere, but the price was high and not accepted.Even if he works hard to provide a good living environment to his wife and children, his wife (Sandy Newton THADIE Newton) finally chose to leave home.Since then, he has taken his son Christopher (Jaden Smith).Chris managed to come back to an opportunity to come back to a stock investment company. Even if there was no pay, the chance of success was only five percent. He still worked hard. His son was his power.He looked at his eyes, and his son hid in a public toilet in the subway station, and lived in the helling of the church ... He firmly believed that happiness will come tomorrow."
